location,date,temperature_2m_max,temperature_2m_min,temperature_2m_mean
Berlin,1984-08-11 00:00:00+00:00,22.039,16.889,18.701498
Berlin,1984-08-12 00:00:00+00:00,21.139,15.488999,18.239
Berlin,1984-08-13 00:00:00+00:00,22.088999,13.539,17.899416
Berlin,1984-08-14 00:00:00+00:00,22.989,12.039,18.124418
Berlin,1984-08-15 00:00:00+00:00,20.338999,11.889,16.514
Berlin,1984-08-16 00:00:00+00:00,20.939,12.238999,16.576502
Berlin,1984-08-17 00:00:00+00:00,17.789,10.589,14.76192
Berlin,1984-08-18 00:00:00+00:00,18.639,11.139,15.272334
Berlin,1984-08-19 00:00:00+00:00,21.689,13.039,17.443169
Berlin,1984-08-20 00:00:00+00:00,23.689,13.938999,18.968166
Berlin,1984-08-21 00:00:00+00:00,24.588999,14.988999,19.83275
Berlin,1984-08-22 00:00:00+00:00,25.139,14.488999,20.018167
Berlin,1984-08-23 00:00:00+00:00,26.539,14.539,20.780668
Berlin,1984-08-24 00:00:00+00:00,26.539,15.389,21.074415
Berlin,1984-08-25 00:00:00+00:00,26.189,15.988999,20.934835
Berlin,1984-08-26 00:00:00+00:00,21.039,14.839,17.545248
Berlin,1984-08-27 00:00:00+00:00,20.338999,11.839,15.9035845
Berlin,1984-08-28 00:00:00+00:00,23.838999,9.789,17.293169
Berlin,1984-08-29 00:00:00+00:00,24.439,13.938999,19.466084
Berlin,1984-08-30 00:00:00+00:00,23.588999,16.139,19.514
Berlin,1984-08-31 00:00:00+00:00,24.039,17.639,20.866083
Berlin,1985-06-01 00:00:00+00:00,20.389,9.988999,15.749417
Berlin,1985-06-02 00:00:00+00:00,21.789,11.238999,16.374414
Berlin,1985-06-03 00:00:00+00:00,24.338999,8.539,17.511915
Berlin,1985-06-04 00:00:00+00:00,26.389,11.589,20.282747
Berlin,1985-06-05 00:00:00+00:00,27.939,16.489,21.286919
Berlin,1985-06-06 00:00:00+00:00,21.989,15.089,18.791082
Berlin,1985-06-07 00:00:00+00:00,22.439,14.988999,18.6515
Berlin,1985-06-08 00:00:00+00:00,16.639,10.889,14.699417
Berlin,1985-06-09 00:00:00+00:00,15.589,8.839,12.411918
Berlin,1985-06-10 00:00:00+00:00,16.789,10.488999,13.368167
Berlin,1985-06-11 00:00:00+00:00,16.389,9.889,12.793167
Berlin,1985-06-12 00:00:00+00:00,14.988999,10.039,12.403584
Berlin,1985-06-13 00:00:00+00:00,14.238999,8.089,11.5015
Berlin,1985-06-14 00:00:00+00:00,15.639,10.438999,12.566083
Berlin,1985-06-15 00:00:00+00:00,15.238999,9.139,11.124415
Berlin,1985-06-16 00:00:00+00:00,14.389,9.389,11.584832
Berlin,1985-06-17 00:00:00+00:00,14.139,7.239,10.603583
Berlin,1985-06-18 00:00:00+00:00,15.738999,7.139,11.403583
Berlin,1985-06-19 00:00:00+00:00,19.689,7.689,14.686917
Berlin,1985-06-20 00:00:00+00:00,18.489,11.889,14.874416
